train_id,model,year,last_check,next_check,warehouse_id
1,Aerostar,1987,2025-01-13,2025-08-07,25
2,Vandura G1500,1995,2024-06-13,2026-03-11,84
3,S-Series,2000,2025-04-04,2026-04-24,59
4,H1,2002,2024-07-22,2025-11-20,326
5,Skylark,1995,2025-04-06,2025-11-24,144
6,Uplander,2006,2024-09-28,2025-05-16,277
7,Soul,2010,2024-08-22,2025-05-26,38
8,Grand Am,1999,2024-12-08,2025-11-05,176
9,Mirage,1986,2025-02-01,2025-09-27,286
10,Suburban 2500,2011,2025-04-21,2025-10-06,330
11,Lumina,1996,2025-04-25,2025-10-04,267
12,V40,2003,2024-11-01,2025-09-12,360
13,Skylark,1997,2024-11-26,2026-02-24,150
14,200,1990,2024-10-07,2026-03-16,321
15,Rondo,2007,2024-11-06,2026-04-11,17
16,Highlander,2011,2025-03-03,2026-01-12,117
17,GX,2004,2024-05-28,2025-12-01,226
18,Galaxie,1964,2024-12-16,2026-02-03,211
19,4Runner,2001,2024-05-24,2026-01-27,57
20,Concorde,2002,2025-04-25,2025-08-07,197
21,Ascender,2006,2024-06-02,2025-10-26,18
22,XK Series,2004,2025-04-17,2026-01-30,380
23,LS,1996,2025-03-25,2026-02-18,373
24,Mustang,2002,2025-03-23,2025-09-07,322
25,Dakota Club,1998,2024-05-23,2026-03-17,59
26,Grand Am,1986,2024-06-13,2026-03-21,387
27,Grand Voyager,1998,2024-11-28,2025-10-11,72
28,Catera,1997,2024-11-08,2025-06-10,312
29,Avalanche 1500,2004,2024-09-12,2025-11-07,392
30,Xterra,2012,2024-08-31,2025-08-24,230
31,RX-7,1994,2025-01-28,2025-10-06,144
32,F430,2008,2024-07-16,2025-06-10,16
33,Crown Victoria,2008,2025-01-08,2025-09-30,222
34,Yukon,2004,2024-09-24,2025-07-05,342
35,Sorento,2007,2025-02-28,2025-09-16,146
36,GT-R,2012,2025-02-25,2026-03-26,201
37,300E,1993,2024-10-18,2025-05-29,34
38,Tahoe,1995,2024-07-19,2025-09-05,312
39,Fit,2007,2025-01-27,2025-09-15,200
40,Loyale,1994,2024-08-11,2026-01-12,264
41,S4,1994,2024-08-04,2026-02-16,115
42,Ram 3500,1994,2025-01-15,2025-11-22,190
43,MX-6,1988,2024-08-04,2025-11-27,53
44,Sportage,2006,2024-11-28,2025-07-10,204
45,Maxima,2005,2025-02-08,2025-06-02,257
46,Daewoo Magnus,2005,2024-09-28,2026-04-16,21
47,Avalon,2004,2024-06-17,2026-03-18,354
48,R8,2009,2024-09-05,2025-09-17,75
49,Suburban 1500,1995,2025-04-18,2026-01-05,340
50,850,1994,2025-02-13,2025-07-26,35
51,H2,2003,2024-09-29,2026-04-02,372
52,Civic,2010,2024-12-31,2025-09-19,131
53,Sportvan G30,1995,2024-10-26,2025-10-12,346
54,Maxima,1997,2025-03-21,2026-01-27,195
55,Breeze,1996,2024-07-25,2025-08-12,129
56,Prizm,1998,2024-08-03,2025-11-04,199
57,Stealth,1994,2025-02-15,2025-11-13,82
58,F150,1984,2025-01-07,2026-03-27,110
59,MKX,2010,2025-02-28,2025-09-28,220
60,626,1996,2024-05-08,2026-03-09,189
61,RAV4,2012,2025-04-24,2026-01-31,211
